node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.858896,141.103847,1.718521,0.0
1,7,99999.823646,176.353883,1.224637,0.0
1,16,99999.858912,141.088291,2.073646,0.0
2,4,99999.858917,141.083107,1.35541,0.0
2,7,99999.858917,141.083107,1.91915,0.0
2,12,99999.858912,141.088291,0.905752,0.0
2,13,99999.858917,141.083107,0.621319,0.0
2,18,24999.858917,141.083107,1.522899,0.0
2,23,24999.858917,141.083107,1.290321,0.0
3,10,99999.858875,141.124587,1.209855,0.0
3,11,24999.858891,141.10903,1.025677,0.0
3,14,1549.858896,141.103847,1.461983,0.0
3,21,99999.858896,141.103847,1.609206,0.0
4,16,99999.858907,141.093474,1.277804,0.0
5,8,24999.858907,141.093474,1.185894,0.0
5,16,24999.858912,141.088291,1.875162,0.0
6,7,1549.823646,176.353883,3.123522,0.0
6,19,1549.858917,141.083107,1.883388,0.0
7,17,99999.858917,141.083107,1.487851,0.0
7,19,24999.858917,141.083107,1.464367,0.0
7,21,99999.823646,176.353883,1.84536,0.0
8,9,24999.858912,141.088291,1.229167,0.0
9,15,24999.823633,176.366843,1.569867,0.0
9,16,99999.858912,141.088291,1.497746,0.0
10,11,24999.858891,141.10903,1.336575,0.0
10,12,99999.858891,141.10903,0.787497,0.0
10,16,99999.858891,141.10903,1.404643,0.0
10,17,99999.858896,141.103847,1.392365,0.0
12,22,99999.82364,176.360363,0.918508,0.0
13,14,1549.858917,141.083107,1.293182,0.0
13,17,99999.858917,141.083107,2.208352,0.0
13,19,24999.858917,141.083107,1.356006,0.0
15,20,24999.858907,141.093474,1.5378,0.0
17,20,99999.858912,141.088291,1.249671,0.0
17,23,24999.823646,176.353883,1.459479,0.0
18,21,24999.858917,141.083107,1.417041,0.0
20,22,24999.858912,141.088291,1.26183,0.0
