node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.79913,200.870439,0.348926,0.0
1,7,99999.79913,200.870439,0.007033,0.0
1,16,99999.79913,200.870439,0.362277,0.0
2,4,99999.79913,200.870439,0.49901,0.0
2,7,99999.79913,200.870439,0.111341,0.0
2,12,99999.799138,200.862033,0.515103,0.0
2,13,99999.79913,200.870439,0.570297,0.0
2,18,24999.83931,160.689627,0.67234,0.0
2,23,24999.79913,200.870439,0.507474,0.0
3,10,99999.758955,241.044526,0.524759,0.0
3,11,24999.799138,200.862033,0.421524,0.0
3,14,1549.79913,200.870439,0.75841,0.0
3,21,99999.79913,200.870439,0.573158,0.0
4,16,99999.79913,200.870439,0.549555,0.0
5,8,24999.83931,160.689627,0.632644,0.0
5,16,24999.839304,160.696351,0.597358,0.0
6,7,1549.79913,200.870439,0.191092,0.0
6,19,1549.79913,200.870439,0.554919,0.0
7,17,99999.83931,160.689627,0.270128,0.0
7,19,24999.839304,160.696351,0.132799,0.0
7,21,99999.79913,200.870439,0.12064,0.0
8,9,24999.799138,200.862033,0.54574,0.0
9,15,24999.79913,200.870439,0.402093,0.0
9,16,99999.79913,200.870439,0.365734,0.0
10,11,24999.799138,200.862033,0.55635,0.0
10,12,99999.799138,200.862033,0.34821,0.0
10,16,99999.79913,200.870439,0.436425,0.0
10,17,99999.83931,160.689627,0.494003,0.0
12,22,99999.83931,160.689627,0.155449,0.0
13,14,1549.79913,200.870439,0.708342,0.0
13,17,99999.839304,160.696351,0.63014,0.0
13,19,24999.758955,241.044526,0.416517,0.0
15,20,24999.839304,160.696351,0.53525,0.0
17,20,99999.83931,160.689627,0.74482,0.0
17,23,24999.839304,160.696351,0.571489,0.0
18,21,24999.83931,160.689627,0.645518,0.0
20,22,24999.839304,160.696351,0.420928,0.0
