node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.805369,194.631417,1.228809,0.0
1,7,99999.805369,194.631417,0.867844,0.0
1,16,99999.805376,194.623525,1.393557,0.0
2,4,99999.844295,155.705133,0.922918,0.0
2,7,99999.844295,155.705133,0.566602,0.0
2,12,99999.844301,155.69882,1.072764,0.0
2,13,99999.844295,155.705133,0.535369,0.0
2,18,24999.844295,155.705133,2.073288,0.0
2,23,24999.844295,155.705133,0.66328,0.0
3,10,99999.844301,155.69882,1.247406,0.0
3,11,24999.805369,194.631417,1.269817,0.0
3,14,1549.844314,155.686197,0.748396,0.0
3,21,99999.844295,155.705133,1.16396,0.0
4,16,99999.805376,194.623525,1.283884,0.0
5,8,24999.805376,194.623525,1.175046,0.0
5,16,24999.805384,194.615634,1.250505,0.0
6,7,1549.805369,194.631417,1.16384,0.0
6,19,1549.844295,155.705133,1.502872,0.0
7,17,99999.805369,194.631417,0.894785,0.0
7,19,24999.805369,194.631417,1.297712,0.0
7,21,99999.805369,194.631417,0.92566,0.0
8,9,24999.805369,194.631417,1.090646,0.0
9,15,24999.805369,194.631417,1.374722,0.0
9,16,99999.805376,194.623525,1.372814,0.0
10,11,24999.844301,155.69882,1.528144,0.0
10,12,99999.805384,194.615634,1.231074,0.0
10,16,99999.844307,155.692507,0.920296,0.0
10,17,99999.844301,155.69882,1.167417,0.0
12,22,99999.805376,194.623525,1.387715,0.0
13,14,1549.805392,194.607747,1.378417,0.0
13,17,99999.805369,194.631417,0.483274,0.0
13,19,24999.805369,194.631417,1.499534,0.0
15,20,24999.844295,155.705133,1.860499,0.0
17,20,99999.844301,155.69882,1.346231,0.0
17,23,24999.805369,194.631417,1.234889,0.0
18,21,24999.844295,155.705133,1.393199,0.0
20,22,24999.844295,155.705133,1.345873,0.0
