node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.85932,140.679953,1.564741,0.0
1,7,99999.85932,140.679953,1.499653,0.0
1,16,99999.85932,140.679953,1.483679,0.0
2,4,99999.82415,175.849941,1.284719,0.0
2,7,99999.82415,175.849941,1.088858,0.0
2,12,99999.82415,175.849941,1.528025,0.0
2,13,99999.82415,175.849941,2.419233,0.0
2,18,24999.85932,140.679953,1.43981,0.0
2,23,24999.82415,175.849941,0.970602,0.0
3,10,99999.859325,140.6748,1.01614,0.0
3,11,24999.85932,140.679953,1.223445,0.0
3,14,1549.85932,140.679953,1.419783,0.0
3,21,99999.85932,140.679953,1.157522,0.0
4,16,99999.85932,140.679953,1.333475,0.0
5,8,24999.85933,140.669646,1.167297,0.0
5,16,24999.859325,140.6748,1.622438,0.0
6,7,1549.85932,140.679953,1.398802,0.0
6,19,1549.85932,140.679953,1.520276,0.0
7,17,99999.85932,140.679953,1.127839,0.0
7,19,24999.85932,140.679953,1.193762,0.0
7,21,99999.82415,175.849941,1.274228,0.0
8,9,24999.859325,140.6748,1.413226,0.0
9,15,24999.85932,140.679953,1.134038,0.0
9,16,99999.85932,140.679953,1.270175,0.0
10,11,24999.859325,140.6748,1.366496,0.0
10,12,99999.85932,140.679953,1.608133,0.0
10,16,99999.85932,140.679953,1.275063,0.0
10,17,99999.85932,140.679953,1.00112,0.0
12,22,99999.859325,140.6748,1.618743,0.0
13,14,1549.85932,140.679953,1.357079,0.0
13,17,99999.85932,140.679953,0.720739,0.0
13,19,24999.85932,140.679953,1.403213,0.0
15,20,24999.85932,140.679953,1.520157,0.0
17,20,99999.85932,140.679953,1.823068,0.0
17,23,24999.85932,140.679953,1.265407,0.0
18,21,24999.85932,140.679953,1.080394,0.0
20,22,24999.824157,175.8435,1.585245,0.0
