node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.802217,197.783181,1.313448,0.0
1,7,99999.802209,197.79133,1.033902,0.0
1,16,99999.802209,197.79133,1.529932,0.0
2,4,99999.802225,197.775031,1.073003,0.0
2,7,99999.841773,158.226544,0.334501,0.0
2,12,99999.802225,197.775031,1.182437,0.0
2,13,99999.802217,197.783181,1.384497,0.0
2,18,24999.841773,158.226544,0.048518,0.0
2,23,24999.84178,158.220025,0.267982,0.0
3,10,99999.802217,197.783181,1.602769,0.0
3,11,24999.802225,197.775031,1.433253,0.0
3,14,1549.802217,197.783181,1.288414,0.0
3,21,99999.802217,197.783181,1.310468,0.0
4,16,99999.802217,197.783181,1.569986,0.0
5,8,24999.841767,158.233064,0.406027,0.0
5,16,24999.841767,158.233064,0.990748,0.0
6,7,1549.802209,197.79133,0.417352,0.0
6,19,1549.802217,197.783181,0.935435,0.0
7,17,99999.841767,158.233064,0.485182,0.0
7,19,24999.802217,197.783181,0.174403,0.0
7,21,99999.802209,197.79133,1.117587,0.0
8,9,24999.841767,158.233064,1.14131,0.0
9,15,24999.841767,158.233064,1.456261,0.0
9,16,99999.802209,197.79133,0.681758,0.0
10,11,24999.802217,197.783181,0.795841,0.0
10,12,99999.802217,197.783181,2.209902,0.0
10,16,99999.802217,197.783181,2.006769,0.0
10,17,99999.802209,197.79133,0.849485,0.0
12,22,99999.802217,197.783181,0.585794,0.0
13,14,1549.841767,158.233064,1.733899,0.0
13,17,99999.802209,197.79133,1.08552,0.0
13,19,24999.802217,197.783181,1.319289,0.0
15,20,24999.841767,158.233064,0.962615,0.0
17,20,99999.841767,158.233064,0.735044,0.0
17,23,24999.841773,158.226544,1.435637,0.0
18,21,24999.802209,197.79133,0.118256,0.0
20,22,24999.802209,197.79133,1.740575,0.0
