node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.848539,151.461368,1.355529,0.0
1,7,99999.848521,151.47929,1.360774,0.0
1,16,99999.848521,151.47929,0.558734,0.0
2,4,99999.810651,189.349112,1.443863,0.0
2,7,99999.810651,189.349112,1.105428,0.0
2,12,99999.810651,189.349112,1.365542,0.0
2,13,99999.810651,189.349112,1.432061,0.0
2,18,24999.848521,151.47929,2.524853,0.0
2,23,24999.810651,189.349112,1.392603,0.0
3,10,99999.848557,151.443445,1.848221,0.0
3,11,24999.848539,151.461368,1.277089,0.0
3,14,1549.848539,151.461368,1.949072,0.0
3,21,99999.810673,189.32671,1.372695,0.0
4,16,99999.848521,151.47929,426.08726,0.0
5,8,24999.810651,189.349112,1.331449,0.0
5,16,24999.848521,151.47929,1.502633,0.0
6,7,1549.848521,151.47929,1.290202,0.0
6,19,1549.848515,151.485266,1.071453,0.0
7,17,99999.810643,189.356582,1.213431,0.0
7,19,24999.848515,151.485266,1.439214,0.0
7,21,99999.810651,189.349112,1.290441,0.0
8,9,24999.810651,189.349112,1.525164,0.0
9,15,24999.848521,151.47929,1.751184,0.0
9,16,99999.848521,151.47929,1.991272,0.0
10,11,24999.848539,151.461368,0.456452,0.0
10,12,99999.848539,151.461368,0.652075,0.0
10,16,99999.848539,151.461368,0.950575,0.0
10,17,99999.810666,189.33418,0.940204,0.0
12,22,99999.848521,151.47929,5.540967,0.0
13,14,1549.848521,151.47929,1.86646,0.0
13,17,99999.810636,189.364052,1.239896,0.0
13,19,24999.848515,151.485266,1.340508,0.0
15,20,24999.848521,151.47929,1.661062,0.0
17,20,99999.810643,189.356582,1.916051,0.0
17,23,24999.810643,189.356582,1.812816,0.0
18,21,24999.848521,151.47929,1.05989,0.0
20,22,24999.810651,189.349112,1.538992,0.0
