node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.855536,144.464093,1.652837,0.0
1,7,99999.855536,144.464093,1.295686,0.0
1,16,99999.855536,144.464093,0.494123,0.0
2,4,99999.855547,144.453222,0.948787,0.0
2,7,99999.855547,144.453222,1.128554,0.0
2,12,99999.855547,144.453222,1.112223,0.0
2,13,99999.855547,144.453222,0.471473,0.0
2,18,24999.855541,144.458656,1.171947,0.0
2,23,24999.855547,144.453222,1.423001,0.0
3,10,99999.855552,144.447788,2.016306,0.0
3,11,24999.855552,144.447788,21.471262,0.0
3,14,1549.855536,144.464093,1.932144,0.0
3,21,99999.855552,144.447788,0.243187,0.0
4,16,99999.855552,144.447788,1.045346,0.0
5,8,24999.855552,144.447788,1.24228,0.0
5,16,24999.855552,144.447788,3.258586,0.0
6,7,1549.855525,144.474963,1.005292,0.0
6,19,1549.819393,180.607292,0.730872,0.0
7,17,99999.855547,144.453222,1.181722,0.0
7,19,24999.85553,144.469527,1.15025,0.0
7,21,99999.855547,144.453222,1.393676,0.0
8,9,24999.855552,144.447788,0.698924,0.0
9,15,24999.855552,144.447788,1.373768,0.0
9,16,99999.855552,144.447788,1.374722,0.0
10,11,24999.855552,144.447788,1.19698,0.0
10,12,99999.855552,144.447788,1.311302,0.0
10,16,99999.855552,144.447788,1.608968,0.0
10,17,99999.855552,144.447788,1.183867,0.0
12,22,99999.855552,144.447788,1.705408,0.0
13,14,1549.81942,180.580116,1.075029,0.0
13,17,99999.855552,144.447788,1.207829,0.0
13,19,24999.81942,180.580116,0.550389,0.0
15,20,24999.855552,144.447788,1.196861,0.0
17,20,99999.855552,144.447788,1.085043,0.0
17,23,24999.855552,144.447788,1.366973,0.0
18,21,24999.855547,144.453222,1.126766,0.0
20,22,24999.855552,144.447788,0.923514,0.0
