node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.81961,180.390094,1.304507,0.0
1,7,99999.819617,180.383315,0.959277,0.0
1,16,99999.819617,180.383315,1.336455,0.0
2,4,99999.855683,144.317498,1.578331,0.0
2,7,99999.855688,144.312075,0.104666,0.0
2,12,99999.819603,180.396873,1.395583,0.0
2,13,99999.855688,144.312075,1.284242,0.0
2,18,24999.81961,180.390094,0.361323,0.0
2,23,24999.819603,180.396873,0.960588,0.0
3,10,99999.81961,180.390094,1.599073,0.0
3,11,24999.855683,144.317498,2.091408,0.0
3,14,1549.819603,180.396873,1.338243,0.0
3,21,99999.81961,180.390094,0.971437,0.0
4,16,99999.81961,180.390094,0.69952,0.0
5,8,24999.81961,180.390094,1.820087,0.0
5,16,24999.855693,144.306652,1.74427,0.0
6,7,1549.819617,180.383315,0.728846,0.0
6,19,1549.855688,144.312075,0.30458,0.0
7,17,99999.819617,180.383315,0.795603,0.0
7,19,24999.855688,144.312075,0.0,0.0
7,21,99999.819617,180.383315,0.820637,0.0
8,9,24999.819617,180.383315,1.94633,0.0
9,15,24999.819617,180.383315,1.836658,0.0
9,16,99999.819617,180.383315,1.356363,0.0
10,11,24999.855688,144.312075,0.553131,0.0
10,12,99999.81961,180.390094,1.603246,0.0
10,16,99999.81961,180.390094,1.49262,0.0
10,17,99999.855693,144.306652,0.949502,0.0
12,22,99999.81961,180.390094,0.993609,0.0
13,14,1549.855688,144.312075,1.204729,0.0
13,17,99999.819617,180.383315,2.13778,0.0
13,19,24999.855688,144.312075,0.946999,0.0
15,20,24999.81961,180.390094,1.833081,0.0
17,20,99999.81961,180.390094,1.941323,0.0
17,23,24999.81961,180.390094,1.733661,0.0
18,21,24999.819617,180.383315,1.095533,0.0
20,22,24999.855688,144.312075,1.328826,0.0
