node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.803198,196.801968,0.835657,0.0
1,7,99999.803198,196.801968,0.973225,0.0
1,16,99999.803198,196.801968,0.996113,0.0
2,4,99999.803198,196.801968,1.307964,0.0
2,7,99999.803198,196.801968,0.99206,0.0
2,12,99999.803198,196.801968,0.607252,0.0
2,13,99999.803198,196.801968,1.664877,0.0
2,18,24999.803198,196.801968,0.610948,0.0
2,23,24999.803198,196.801968,0.487328,0.0
3,10,99999.803198,196.801968,0.45681,0.0
3,11,24999.80319,196.810038,0.640988,0.0
3,14,1549.803198,196.801968,1.397371,0.0
3,21,99999.80319,196.810038,1.00565,0.0
4,16,99999.80319,196.810038,1.014233,0.0
5,8,24999.803198,196.801968,0.123143,0.0
5,16,24999.842558,157.441574,0.0,0.0
6,7,1549.842558,157.441574,0.828266,0.0
6,19,1549.80323,196.769703,0.99051,0.0
7,17,99999.803198,196.801968,0.319481,0.0
7,19,24999.842584,157.415762,0.990987,0.0
7,21,99999.80319,196.810038,1.130462,0.0
8,9,24999.803198,196.801968,0.754595,0.0
9,15,24999.803198,196.801968,0.374436,0.0
9,16,99999.803198,196.801968,0.595689,0.0
10,11,24999.80319,196.810038,0.692725,0.0
10,12,99999.803198,196.801968,0.546217,0.0
10,16,99999.803198,196.801968,0.75984,0.0
10,17,99999.842558,157.441574,0.310779,0.0
12,22,99999.803198,196.801968,0.405192,0.0
13,14,1549.842558,157.441574,0.640273,0.0
13,17,99999.803198,196.801968,0.094652,0.0
13,19,24999.80323,196.769703,0.634909,0.0
15,20,24999.803198,196.801968,1.218915,0.0
17,20,99999.803198,196.801968,0.62108,0.0
17,23,24999.842558,157.441574,0.543356,0.0
18,21,24999.80319,196.810038,1.437664,0.0
20,22,24999.803198,196.801968,0.801444,0.0
